,sentence,provenance,convention_civic,convention_domestic,convention_green,convention_industrial,convention_inspired,convention_market,convention_project,convention_renown
1103,"tomorrow is what counts: the ""machines of tomorrow,"" the ""worker of tomorrow,"" ""the organization of tomorrow.""",sci_article,0,0,0,1,0,0,0,0
1104,"the quality of worthy beings, beings that are functional, operational, or (when humans are involved) professional, thus expresses their capacity to integrate themselves into the machinery, , along with their predictability, their reliability, and it guarantees realistic projects in the future.",sci_article,0,0,0,1,0,0,0,0
1105,"people are in a state of unworthiness when they produce nothing useful, when they are unproductive, when they fail to do much work, owing to absenteeism or turnover, or because they are inactive, unemployed, handicapped, or when they turn out work of poor quality because they are inefficient, unmotivated, unqualified, unsuited to the job.",sci_article,0,0,0,1,0,0,0,0
1106,things are unworthy when they are subjective.,sci_article,0,0,0,1,0,0,0,0
1107,"beings are also unworthy when, instead of being open to the future, they cling to the mold of the past, by failing to evolve, by remaining static, rigid, ill adapted.",sci_article,0,0,0,1,0,0,0,0
1108,"(especially waste of ""human capabilities"" resulting from ""unqualified work that ... does not correspond to the real capabilities""), spoilage, rejects, pollution, deterioration, these are all negative signs of worth; they manifest weak control, the poor functioning of a disturbed system (""the quality of the raw material is uneven and disrupts production""), and they originate in random events, incidents, and risks.",sci_article,0,0,0,1,0,0,0,0
1109,"the questioning of the industrial order is expressed in a nonoptimal situation, as when one ""observes that the programming of production is not optimizing the costs.""",sci_article,0,0,0,1,0,0,0,0
1110,"this contentious situation is a malfunctioning, a problem, a breakdown, an accident: ""the reduction of rejects, accidents, and nonproductive time often makes it possible to reduce physical costs and wastes of human energy"" at the same time.",sci_article,0,0,0,1,0,0,0,0
1111,"the dignity of persons, the aspect of human nature on which the industrial order is based, lies in the human potential for activity.",sci_article,0,0,0,1,0,0,0,0
1112,this capacity is expressed in work that is the implementation of the energy of men of action.,sci_article,0,0,0,1,0,0,0,0
1113,to invest in human capabilities and energies is to use the best means for economic efficiency.,sci_article,0,0,0,1,0,0,0,0
1114,"consequently, the failure to use the available human potential is a serious breach of human dignity.",sci_article,0,0,0,1,0,0,0,0
1115,"in the industrial world, people have a professional qualification (the term professional is used, moreover, as a substantive to designate them) related to their capability and their activity.",sci_article,0,0,0,1,0,0,0,0
1116,"this scale of qualification underlies a hierarchy of states of worth, a hierarchy marked by competencies and responsibilities (management, leaders, decision makers, supervisors, technicians, operators, and so on).",sci_article,0,0,0,1,0,0,0,0
1117,"in work relations and systems of remuneration, the formal qualities that express industrial worth are opposed both to a market evaluation that would result immediately from a service provided and to a domestic judgment that would evaluate a person\'s authority.",sci_article,0,0,0,1,0,0,0,0
1118,"the objects in the industrial world are instruments, means, mobilized for an action that is presented as a task of production.",sci_article,0,0,0,1,0,0,0,0
1119,"this instrumental construction of action, implying a spatial and temporal detour by way of objects that serve as relays, is thus envisaged here as a specific feature of the industrial world and not as a property that would be of a higher order of generality characterizing the actions of human beings endowed with reason.",sci_article,0,0,0,1,0,0,0,0
1120,"production activities are not organized in the same world as the actions of a market nature analyzed earlier, contrary to what is implied by the reduction of the productive function brought about in the economic theory of general equilibrium.",sci_article,0,0,0,1,0,0,0,0
1121,production is carried out in a deployment of objects of an industrial nature that is extended from tools to procedures.,sci_article,0,0,0,1,0,0,0,0
1122,"the manufacturing of products brings into play raw materials plus energy, machines, and methods: ""a whole panoply of tools, organizations, methods and methodologies must be available so that at every moment the best available equipment can be used and then set aside as soon as it is no longer appropriate.""",sci_article,0,0,0,1,0,0,0,0
1123,"the human body is the primary tool that works through effort, and objects of an industrial nature are merely instruments that extend the efficiency of the body\'s work.",sci_article,0,0,0,1,0,0,0,0
1124,"the economic theory of capital converges with the sociology of science and technology when it uses military metaphors to describe ""enlisting ... potent forces as our allies in the task of production.""",sci_article,0,0,0,1,0,0,0,0
1125,every \'detour\' denotes the conscription of an auxiliary power that is more potent or more clever than the human hand.,sci_article,0,0,0,1,0,0,0,0
1126,"the coherent assembly of these objects sustains a causality inscribed within a temporality: once the arrangement is in place, only a modest gesture is required to unleash a series of significant effects (2: 13, 14).",sci_article,0,0,0,1,0,0,0,0
1127,objects of an industrial nature contribute to shaping a space in which effects are transported by means of mechanisms.,sci_article,0,0,0,1,0,0,0,0
1128,"space is organized in such a way that distant zones, or zones unrelated to the action, according to a domestic topography, are treated as an environment as soon as functional links have been established.",sci_article,0,0,0,1,0,0,0,0
1129,"the various actions are integrated into a single homogeneous plan which is governed by axes, guidelines, dimensions, degrees, and levels.",sci_article,0,0,0,1,0,0,0,0
1130,objects are related to one another within this space with the help of lists and inventories dealt with by lot.,sci_article,0,0,0,1,0,0,0,0
1131,"measurable space can be projected on a piece of paper where part of the test is played out, thanks to the construction of grids, states, graphs, charts, flow charts, frameworks, accounts, indicators.",sci_article,0,0,0,1,0,0,0,0
1132,the spatial articulation of objects presupposes a capacity to define that is equipped with a measuring instrument.,sci_article,0,0,0,1,0,0,0,0
1133,the measuring instruments used are actually machines that are incorporated into the workspace.,sci_article,0,0,0,1,0,0,0,0
1134,they standardize by using definitions and investigations to produce objects in due form whose functions can be grasped by criteria or characteristics.,sci_article,0,0,0,1,0,0,0,0
1135,"even human bodies can be caught up in these measures and inscribed in the ergonomics of the task to be carried out: ""ergonomics can help us determine the physical cost of a workstation and express it in kilocalories per day ....",sci_article,0,0,0,1,0,0,0,0
1136,"the stations have been modified (height, position, seats) as a function of the average measurements of segments of the personnel.""",sci_article,0,0,0,1,0,0,0,0
1137,"function is a notion that must be understood in a spatial articulation and a temporal liaison, as mechanical devices illustrate.",sci_article,0,0,0,1,0,0,0,0
1138,"the temporal equivalence instituted by industrial worth is particularly visible in objects apprehended according to their aptitude for managing the future, such as flow charts, plans, and budgets: ""by making adjustments to the planning calendar, we are integrating the project into the plan, the working and investment budgets.""",sci_article,0,0,0,1,0,0,0,0
1139,"the tools for measuring time take advantage of the regularity with which industrial objects function and endow the industrial world with a representation of time that is not unlike the topography of this world, in which one can be transported without friction, can move ahead or make a retrospective return to the past.",sci_article,0,0,0,1,0,0,0,0
1140,"calenda.rs and timetables make it possible to establish states of periodic advancement, to trace stages, phases, deadlines.",sci_article,0,0,0,1,0,0,0,0
1141,this shaping of time models in return the reference points for action constituted by goals and missions.,sci_article,0,0,0,1,0,0,0,0
1142,"the analysis of the objects of the industrial world makes it possible to understand the possibility of calculations, by reversing the perspective adopted when one reduces calculations to the exercise of a mental faculty belonging to beings endowed with reason.",sci_article,0,0,0,1,0,0,0,0
1143,the instruments for defining and measuring constitute the situation of action as a problem leading to the formulation of hypotheses and calling for a solution.,sci_article,0,0,0,1,0,0,0,0
1144,"the articulation of elements or segments obtained by the decomposition of the complexity of the universe can be accomplished by mathematical operations, since the calculations are based on quantified variables: ""the inventory of problems and their alternative solutions is subjected to the method of economic evaluation that makes it possible to quantify the various hypotheses for improvement.""",sci_article,0,0,0,1,0,0,0,0
1145,progress is the investment formula in the industrial world.,sci_article,0,0,0,1,0,0,0,0
1146,"it is associated with the operation of investment (in the classical sense of the term) that weighs the ""price of efforts,"" ""heavy in time and in money,"" and the ""middle term profitability"" that they ensure: ""the investments will open the way to new development.""",sci_article,0,0,0,1,0,0,0,0
1147,"industrial worth requires this dynamic in order to avoid obsolescence, the ""future obsolescence of the existing organization.""",sci_article,0,0,0,1,0,0,0,0
1148,"the temporal orientation is constructed on the basis of the future (as is seen in investment decisions or in arguments for optimization by ""backward induction""), unlike the temporal orientation that prevails in the domestic order, an orientation generated by the past.",sci_article,0,0,0,1,0,0,0,0
1149,"let us note that the calculation of the profitability of an investment, as soon as it takes an interest rate into account, integrates the constraints of a financial market that is not inscribed in the industrial order.",sci_article,0,0,0,1,0,0,0,0
1150,it is in a relation of control that the state of worthiness encompasses the state of unworthiness.,sci_article,0,0,0,1,0,0,0,0
1151,"the word responsibility may be ambiguous here, because it also serves to designate the relation of domestic worth.",sci_article,0,0,0,1,0,0,0,0
1152,"however, the industrial responsibility of the worthy person does not imply that he has power over a less worthy person who owes him respect in return.",sci_article,0,0,0,1,0,0,0,0
1153,the control one exercises depends only on the possibility of predicting less complex actions by integrating them into a larger overall plan.,sci_article,0,0,0,1,0,0,0,0
1154,"a more worthy person is in relation with a less worthy person primarily through the ""responsibility he assumes"" for production, by the control he has over the future: ""to determine the future accurately in order to control it is an indispensable task of factory management.""",sci_article,0,0,0,1,0,0,0,0
1155,natural relations are those required by the regular functioning of beings of an industrial nature.,sci_article,0,0,0,1,0,0,0,0
1156,they are thus dependent on the qualities of the objects already identified.,sci_article,0,0,0,1,0,0,0,0
1157,"in the first place, they put to work production factors organized in structures or systems made up of adjusted mechanisms, adapted machinery, and interactions.",sci_article,0,0,0,1,0,0,0,0
1158,"the functional connections are established in the mode of the necessary, the required.",sci_article,0,0,0,1,0,0,0,0
1159,"these inexorable, indispensable requirements take the form of constraints that condition action and must therefore be taken into account; one must take responsibility for them.",sci_article,0,0,0,1,0,0,0,0
1160,"persons themselves are integrated as a function of the more or less complex competencies they exercise: ""each hierarchical level takes upon itself what cannot be delegated to a lower level; in exchange, it has access to efficient tools for control.""",sci_article,0,0,0,1,0,0,0,0
1161,"the functional relations of the industrial world share in a temporal stability that is favorable to forecasting: ""the production unit appears on the whole as a rather well stabilized universe that is very well controlled.""",sci_article,0,0,0,1,0,0,0,0
1162,"the organization of the beings installed in an industrial arrangement goes hand in hand with an organization of its functioning, with stabilization procedures that, in production, work primarily through stocking operations.",sci_article,0,0,0,1,0,0,0,0
1163,"the implantation of an industrial arrangement presupposes adjustments in the environment, adaptations, redefinitions: ""the overall program is adapted to each particular terrain and all its phases are redefined as a function of the characteristics proper to this terrain, while the overall framework is maintained.""",sci_article,0,0,0,1,0,0,0,0
1164,"industrial action requires a correct vision of this space in which the problem is inscribed, so as to detect, discover, identify, bring to light, measure, analyze, and decompose the relevant elements.",sci_article,0,0,0,1,0,0,0,0
1165,"similarly, the results of the action taken are apprehended through their traces on this space.",sci_article,0,0,0,1,0,0,0,0
1166,"from space to class, the code breaks a path.",sci_article,0,0,0,1,0,0,0,0
1167,"the operations of standardization and formalization make it possible to see the world through data expressed in numbers, quantified, ready to be processed, combined, added up.",sci_article,0,0,0,1,0,0,0,0
1168,the description of the constitutive elements of the time and space proper to the industrial world makes it quite clear that the operation of optimization is possible only in an environment of beings of an industrial nature.,sci_article,0,0,0,1,0,0,0,0
1169,"rational optimization is not situated in continuity with the immediate satisfaction of a desire, in the extension of a market coordination.",sci_article,0,0,0,1,0,0,0,0
1170,"in fact, the temporal extension of the criterion of optimization in economic theory, which passes through an optimization of expectation of the anticipated utility, confronts difficulties that result from the introduction of irreversibilities inherent in the investment decision (favereau 1989b).",sci_article,0,0,0,1,0,0,0,0
1171,"the harmony of the industrial order is expressed in the organization of a system, a structure in which each being has its function, in short, a ""technically predictable universe"": ""no blatant contingent malfunctions are visible; all the cogwheels of the organization work together without a hitch.""",sci_article,0,0,0,1,0,0,0,0
1172,"however, the equilibrium is not static (which would lead to a rapidly outdated state) but dynamic; the equilibrium is one of growth, expansion.",sci_article,0,0,0,1,0,0,0,0
1173,"the testing of this organization presupposes verifying that things function as predicted, that the solution to the problem is realistic.",sci_article,0,0,0,1,0,0,0,0
1174,"once the decision is made, the arrangement set up, the project launched, the mechanism started, its proper operation can be judged by an evaluation of its performance on the basis of the effects produced.",sci_article,0,0,0,1,0,0,0,0
1175,"it remains to be seen whether the arrangement functions correctly, whether everything is in working order, whether ""it\'s going well.""",sci_article,0,0,0,1,0,0,0,0
1176,"this functioning may lead to a reordering of the hierarchy of functions: ""the qualification of the tasks evolves in the opposite direction from the hierarchy of the original functions.",sci_article,0,0,0,1,0,0,0,0
1177,"the preparation is gradually disqualified owing to automatization.""",sci_article,0,0,0,1,0,0,0,0
1178,the test is also an opportunity to reveal new objects.,sci_article,0,0,0,1,0,0,0,0
1179,"the measuring devices mentioned earlier contribute to the process of revelation by achieving spatial and temporal equivalencies, by carrying out operations in series.",sci_article,0,0,0,1,0,0,0,0
1180,"they make it possible to establish laws on the basis of frequencies, and to reduce the role of chance by exhibiting probable relations on the basis of averages.",sci_article,0,0,0,1,0,0,0,0
1181,"proof is grounded in a temporal regularity, the methodic repetition of measurement.",sci_article,0,0,0,1,0,0,0,0
1182,"new causes, new factors capable of giving rise to effects, are thus identifiable during tests.",sci_article,0,0,0,1,0,0,0,0
1183,"in the industrial world, the distinctive dignity of humanity is threatened by the treatment of people as things.",sci_article,0,0,0,1,0,0,0,0
1184,the worth of the objects and arrangements created can be confused with this dignity to the point of blurring the boundary of humanity.,sci_article,0,0,0,1,0,0,0,0
1185,"deprived of tests, protected from the risk of contingencies that can call the order of competencies into question and allow new objects to emerge, industrial worth can become frozen in the monumental order that is regularly depicted in critiques of technology.",sci_article,0,0,0,1,0,0,0,0
1186,"efficiency (higher common principle) perforr,umce, future efficient reliable, not optimal, inactive, unsuited, breakdown (in a state of), unreliable.",sci_article,0,0,0,1,0,0,0,0
1187,work (digni1y} energy.,sci_article,0,0,0,1,0,0,0,0
1188,"professionals (subjects) expert, specialist, person in charge, operator.",sci_article,0,0,0,1,0,0,0,0
1189,"means (objects) tool, resource, method, task, space, environment, axis, direction, dimension, criterion, definition, list, graph, chart, calendar, plan, goal, quantity, variable, series, average, probability, standard, factor, cause progress (invfsiment) investment, dynamic.",sci_article,0,0,0,1,0,0,0,0
1190,"control function (relationships) put to work, machinery (liaison of), function (to be a function of), cogwheels, interact, need (to), condition(to), necessary (relation), integrate, organize, control, stabilize, order, anticipate, implant, adapt, detect, analyze, account (take into), determine, light (bring to), measure, formalize, standardize, optimize, solve, process.",sci_article,0,0,0,1,0,0,0,0
1191,organization (figures) system.,sci_article,0,0,0,1,0,0,0,0
1192,"trial (test) launching, setting up, putting to work, achievement.",sci_article,0,0,0,1,0,0,0,0
1193,"effective (judgment) correct, in working order, functioning.",sci_article,0,0,0,1,0,0,0,0
1194,measure (evidence) instrumental action (the fall) treating people as things. ',sci_article,0,0,0,1,0,0,0,0
1195,"b""an exotic payload crafted: this package provides routines to construct graphs on videos, segment them, build trees out of them, and convert them back to videos.",github,0,1,0,0,0,0,0,0
1196,"** clearly see how your habits improved over ** create an individual reminder for each habit, at a chosen hour unit of work and continuity.",github,0,1,0,0,0,0,0,0
1197,"rpcs are often used for performance reasons with internal communications, as you can hand craft native calls to better fit your use cases.",github,0,1,0,0,0,0,0,0
1198,gitfiti _noun_ : carefully crafted graffiti in a github commit history calendar.,github,0,1,0,0,0,0,0,0
1199,"origin=developer id application: the tor project, inc (madpsayn6t) the warning about the key not being certified is benign, as it has not yet been manually assigned trust.",github,0,1,0,0,0,0,0,0
1200,"however, if not, it is possible (easy in fact) to craft them manually, though it easily craft meterpreter reverse_tcp payloads for windows, linux, android and mac and another i realized early on that i need to adopt a lifestyle that not just reduces carbs, or add exercise, but is also sustainable and even enjoyable so it can turn into a painless routine.",github,0,1,0,0,0,0,0,0
1201,"* is **stable**, **efficient** and designed to respect android philosophy the idea is to guess the regex and craft the next payloads which doesn\\'t use the blacklisted keywords.",github,0,1,0,0,0,0,0,0
1202,"(of course, if this repository has been compromised you can\\'t trust these instructions.",github,0,1,0,0,0,0,0,0
1203,where do the trust stores come from?,github,0,1,0,0,0,0,0,0
1204,"loop is a mobile app that helps you create and maintain good habits, it aims to cover both traditional and core nlp tasks such as dependency parsing and part of speech tagging think of it as an easy way to get your scripts up on the web for routine data analysis, file processing, or anything else.",github,0,1,0,0,0,0,0,0
1205,"ideally, you should make it a habit to not pick up the mouse to perform most of your actions and slowly migrate towards a mouseless workflow.",github,0,1,0,0,0,0,0,0
1206,the way pgp works is that you trust key ids instead of jid\\'s or email addresses.,github,0,1,0,0,0,0,0,0
1207,you trust your users and want to avoid the extra verification step.,github,0,1,0,0,0,0,0,0
1208,"the trust stores (mozilla, microsoft, etc.)",github,0,1,0,0,0,0,0,0
1209,all web browsers retain certain information about our browsing habits.,github,0,1,0,0,0,0,0,0
1210,"repetition makes your habit stronger, and every missed day makes it weaker.",github,0,1,0,0,0,0,0,0
1211,"at the time i had no idea what i was doing, but for better or worse, i made a habit of not copying classes, but writing the code out myself.",github,0,1,0,0,0,0,0,0
1212,advanced algorithm for calculating the strength of your habits.,github,0,1,0,0,0,0,0,0
1213,* we kindly ask you to use common sense and don\\'t profit entirely off the work of others.,github,0,1,0,0,0,0,0,0
1214,"the trust stores can be updated to the latest version, using either the cli: you can also craft a packet object from scratch.""",github,0,1,0,0,0,0,0,0
1215,"justifications based on tradition and locality [ domestic worth] another distinct category of arguments relies on justifications where traditions are valued and are constantly being revisited in making judgments about the present, and where locality and ties to a place are revered.",sci_article,0,1,0,0,0,0,0,0
1216,evaluations of this type support hierarchies of reputation and trustworthiness.,sci_article,0,1,0,0,0,0,0,0
1217,"these justifications relate to what boltanski and th venot (1991) term the domestic order of worth in which the claim of a general value is warranted by personal tie or local attachment, so that personal character or proximity are considered the source or building blocks of universal goods.",sci_article,0,1,0,0,0,0,0,0
1218,"in the french case, arguments of this sort are found in the call by project opponents to protect the region s treasured culture and heritage (patrimoine in french), of which the valley s landscape is a significant part.",sci_article,0,1,0,0,0,0,0,0
1219,"in the american case there are many similar arguments pointing to the preservation of a place close to one s home and hearth, and references to the region s heritage.",sci_article,0,1,0,0,0,0,0,0
1220,"but these arguments are oriented less around the idea of heritage and patrimony in the united states and more in terms of the protection of one s backyard, either as a protection of private property (a compromise with market arguments) or a rejection of non local authority.",sci_article,0,1,0,0,0,0,0,0
1221,"justifications based on tradition and locality are utilized extensively by opponents of the somport project in france, and there are a variety of rich testimonials from the inhabitants of the aspe valley on the need to preserve a patrimony and way of life cherished by many and upheld in various ways by existing traditions of the region.",sci_article,0,1,0,0,0,0,0,0
1222,"this local view is summarized in a report on the project, this project will confiscate the best cultivated land.",sci_article,0,1,0,0,0,0,0,0
1223,the movement of animals [transhumance] by shepherds will be impeded by the new transportation axis.,sci_article,0,1,0,0,0,0,0,0
1224,"the tourism industry, which is presently harmoniously integrated in the area, will suffer from the proximity of a heavily used road.",sci_article,0,1,0,0,0,0,0,0
1225,"the local trades and craftsmanship which give life to the villages will be forced to disappear. this shows the consideration of the french landscape of villages with their distinct cultures, traditions, and crafts that are highly differentiated across regions (r gionalisme) as a tourist attraction threatened by the project.",sci_article,0,1,0,0,0,0,0,0
1226,"when local officials and some residents support the project with these sorts of justifications, they compromise local patrimony with market or infrastructure arguments.",sci_article,0,1,0,0,0,0,0,0
1227,"they claim the project is important for local development: it will improve tourist access to the area, open markets for local trades, etc.",sci_article,0,1,0,0,0,0,0,0
1228,"as the mayor of the small valley town of borce explains, it [the project] is the only possibility we have at present to develop handicrafts, trade, industry, and tourism in our isolated region, which is becoming more and more depopulated. the compromise is made in proposed restrictions to the width of the road: we only need a two lane road with three lane sections for passing.",sci_article,0,1,0,0,0,0,0,0
1229,"this will create the necessary and indispensable exchange among nearby locals, says another local mayor who supports the project.",sci_article,0,1,0,0,0,0,0,0
1230,"many of the arguments in the somport case, in both camps, refer to the harmonious existence of living on the land : what was really significant for me was this land; i did not want to betray this land.",sci_article,0,1,0,0,0,0,0,0
1231,"we have a fabulous land (a pro project local mayor); my valley is so beautiful, i pity those who left (an anti project shepherd).",sci_article,0,1,0,0,0,0,0,0
1232,"close connections between people and their land, from villagers who reside in the small valley communities to the shepherds who make their living traveling to remote and rugged mountain pastures, through fishermen and hunters.",sci_article,0,1,0,0,0,0,0,0
1233,"in france, the idea of domesticating nature includes nature and animals as parts of the broader human community or habitat. also, the idea of a landscape in france is not simply used to refer to a wild area or a vista; rather, a landscape specifically includes the human community, the towns, the networks of trails and roads around the villages, scattered but integrated groups of houses, etc.",sci_article,0,1,0,0,0,0,0,0
1234,even the old railway running through the aspe valley is now seen as a part of the domestic landscape and is favored as part of the heritage of the area a past infrastructure project has been transformed into a patrimonial value.,sci_article,0,1,0,0,0,0,0,0
1235,"in the clavey dispute there are also many examples of arguments, almost exclusively among the local opposition activists, calling for the preservation of a treasured local place which is a valued piece of the local history and heritage as well as a location of special meaning for the personal history and lives of many inhabitants.",sci_article,0,1,0,0,0,0,0,0
1236,"for example,wally anker is a retired banker who now raises horses on land near the clavey that has been in his family since they were early settlers in the nineteenth century gold rush.",sci_article,0,1,0,0,0,0,0,0
1237,"he spearheaded the founding of the clavey river preservation coalition and he would begin his speeches with a story about how he first visited the clavey in 1944 as a teenager, at a time when the clavey was legendary among the local old timers as the most remote and wild stream for trout fishing.37 upon returning to the area in the 1980s, mr. anker resolved to help keep it that way for his grandchildren.",sci_article,0,1,0,0,0,0,0,0
1238,"talking about the clavey, another activist muses, you know, there s a certain thing to be said about a sense of place, and that s hard to put into words.",sci_article,0,1,0,0,0,0,0,0
1239,"pride, sort of. he goes on to say the river has since taken on this familiar meaning, this sense of place, for his son and daughter whom he took to the clavey s banks throughout their childhood.",sci_article,0,1,0,0,0,0,0,0
1240,these personal stories are made public and assumed to have a public (not simply private) value because of the general legitimacy made possible by this order of worth based on locality and tradition.,sci_article,0,1,0,0,0,0,0,0
1241,"another comparative difference in the ways local attachments are valued and made general are the references to the good of protecting one s personal home or backyard, which reveals divergent ideas about ownership, property, and individuality between the united states and france.",sci_article,0,1,0,0,0,0,0,0
1242,"in the united states the defense of one s property is strongly stated and tied to an individual identity, and it rests on private ownership and property rights (which also sustain market worth) (perin, 1988).",sci_article,0,1,0,0,0,0,0,0
1243,the acronym nimby ( not in my backyard ) is first a rejection of any intrusion on personal property but also has a broader usage as a rejection by a community of an unwanted development or an environmental health risk.,sci_article,0,1,0,0,0,0,0,0
1244,"clearly, though, nimby is a powerful conceptual tool and motivating force for united states activists.",sci_article,0,1,0,0,0,0,0,0
1245,"for example, marty mcdonnell describes his intense involvement with the opposition coalition in these nimby terms: we had a personal interest in it, this is our backyard.",sci_article,0,1,0,0,0,0,0,0
1246,this is my home.,sci_article,0,1,0,0,0,0,0,0
1247,you know people will pick up guns and defend their home.,sci_article,0,1,0,0,0,0,0,0
1248,"i will go to the wall [for] my backyard. he determines what he will fight for, then, based partly on locality, partly on a notion of individual possession or even property my backyard that is not found in similar justifications in france.",sci_article,0,1,0,0,0,0,0,0
1249,"in france the attachment of a human to property is, in law, dealt with in this liberal way (the individual is the owner of property and locus of privacy), but there is also a different sense of a shared attachment to the land within a local community, particularly in agricultural areas, where local heritage and integration of people with the land are the issues, not private individual ownership.",sci_article,0,1,0,0,0,0,0,0
1250,"in the united states, where individualism is strongly defended even at a community level (bellah et al.",sci_article,0,1,0,0,0,0,0,0
1251,"1985; varenne 1977), often in opposition to federal (or other non local) intervention, it appears more legitimate for someone to argue on the basis of private ownership or nimby.",sci_article,0,1,0,0,0,0,0,0
1252,"whereas in france, there appears to be a greater tendency to appeal to values more general than nimby such as tradition, la patrie (wiley 1974), or nationalism (see brubaker 1992, on the evolution of a national conception of citizenship in france); for example, saying my backyard is part of our local or national heritage.",sci_article,0,1,0,0,0,0,0,0
1253,the domestic world.,sci_article,0,1,0,0,0,0,0,0
1254,"the domestic world was extracted from a commentary of bossuet\'s work, la politique tiree des propres paroles de l\'ecriture sainte.",sci_article,0,1,0,0,0,0,0,0
1255,"in a domestic world, people\'s worth depends on a hierarchy of trust based on a chain of personal dependencies.",sci_article,0,1,0,0,0,0,0,0
1256,the political link between beings is seen as a generalization of kinship and is based on face to face relationships and on the respect for tradition.,sci_article,0,1,0,0,0,0,0,0
1257,"the person, cannot, in this world, be separated from his/her belonging to a body, a family, a lineage, an estate.",sci_article,0,1,0,0,0,0,0,0
1258,"in bossuet\'s political construction, the king, who is the greatest being, is comparable with a father, who sacrifices himself for his subjects.",sci_article,0,1,0,0,0,0,0,0
1259,"in this model one must, to evaluate someone\'s worth, know his place in the network of dependencies from which this person draws his own authority.",sci_article,0,1,0,0,0,0,0,0
1260,"in order to describe the objects of the domestic world of the present, we used a practical guide teaching good manners and human relations within the company, intended for socially mobile workers who had been promoted to more responsible positions (entitled savoir vivre et promotion).",sci_article,0,1,0,0,0,0,0,0
1261,"in this book, important and worthy persons are chiefs, bosses, or even relatives.",sci_article,0,1,0,0,0,0,0,0
1262,"their main qualities are to be distinguished, straightforward, faithful and to have character.",sci_article,0,1,0,0,0,0,0,0
1263,"the typical objects are, for instance, visiting cards, gifts, estates, houses, titles.",sci_article,0,1,0,0,0,0,0,0
1264,"among the relevant ways to make relationships we note the act of recommending somebody, giving birth, breeding, reproducing or presenting an invitation.",sci_article,0,1,0,0,0,0,0,0
1265,"engenderment according to tradition (higher common principle) generation, hierarchy, tradition.",sci_article,0,1,0,0,0,0,0,0
1266,"hierarchical superiority (state of worthiness) benevolent, well brought up, wise, distinguished, discreet, reserved, trustworthy, honest, faithful.",sci_article,0,1,0,0,0,0,0,0
1267,"the poise of habit (dignity} good sense, habits, naturalness, character.",sci_article,0,1,0,0,0,0,0,0
1268,"superiors and inferiors (subjects) more worthy beings: father, king, ancestors, parents, family, gruwnups, leader, boss.",sci_article,0,1,0,0,0,0,0,0
1269,"less worthy beings: i, unmarried person, foreigner, woman, child, pet.",sci_article,0,1,0,0,0,0,0,0
1270,"others: vtsitor, surroundings (members of), neighbors, third party.",sci_article,0,1,0,0,0,0,0,0
1271,"the rules of etiquette (objects) good manners, proper behavior, rank, title, dwelling, introduction, signature, announcements, gifts, flowers.",sci_article,0,1,0,0,0,0,0,0
1272,"the rejection of selfishness (investment} consideration, duty (and debt), harmony.",sci_article,0,1,0,0,0,0,0,0
1273,"respect and responsibility (relation of worth) authority, subordination, respectability, honor, shame.",sci_article,0,1,0,0,0,0,0,0
1274,"(relationships} reproduce, give birth, train, invite, give, receive, return, recummmd, thank, respect.",sci_article,0,1,0,0,0,0,0,0
1275,"household, family, milieu, principles, customs, conventions.",sci_article,0,1,0,0,0,0,0,0
1276,"family ceremonies (test) celebration, birth, death, marriage, social events, conversation, distinction, nomination.",sci_article,0,1,0,0,0,0,0,0
1277,"i i the domestic world the domestic world does not unfold inside the circle of family relationships alone, especially given the restricted notion of family, detached from any reference to the political order, that is accepted in our society today.",sci_article,0,1,0,0,0,0,0,0
1278,"when this world unfolds, the search for what is just stresses personal relationships.",sci_article,0,1,0,0,0,0,0,0
1279,"the worth that, in the domestic world is a function of the position one occupies m chains of personal dependence can only be grasped in a relational sense: worthier than ... , less worthy than... for the same reasons, the exercise of worth is subject here to constraints of place and time linked to the need to present oneself in person in the presence of others, in order to manifest one\'s own importance.",sci_article,0,1,0,0,0,0,0,0
1280,"this need underlies the interest taken in everything having to do with the body, its clothing and its presentation.",sci_article,0,1,0,0,0,0,0,0
1281,"arrangements of a domestic nature are weakly equipped with instruments for acting from a distance; such instruments are particularly well developed, in contrast, in the civic world, which lays emphasis on the objectivity of rules detached from persons and on mechanisms of representation.",sci_article,0,1,0,0,0,0,0,0
1282,"in the domestic world, objects are not apprehended according to their own worth, as is the case in the industrial world, but essentially according to how much they contribute to establishing hierarchical relations among people (we find examples in objects used in the context of social encounters) and also, according to the degree to which they facilitate the inscription.",sci_article,0,1,0,0,0,0,0,0
1283,of the worth and thus the identification of personal counters.,sci_article,0,1,0,0,0,0,0,0
1284,"in the domestic world, where beings are immediately qualified according to their worth, in such a way that their manifestation necessarily entails a determination of their position in a hierarchy, the inscription of signs of worth in the form of titles, heraldry, clothing, marks on the body, and so on, is sought in order to limit the uncertainty of situations involving personal encounters and to reduce the costs of identification.",sci_article,0,1,0,0,0,0,0,0
1285,but the importance that the processes of inscription take on tends to attach worth to persons.,sci_article,0,1,0,0,0,0,0,0
1286,"the case of irrevocable titles and especially hereditary titles is exemplary: such titles render critiques powerless, because in most instances they cannot reach their intended goal, namely, the institution of a new test.",sci_article,0,1,0,0,0,0,0,0
